user_id,timestamp,interaction_type,product_name,feedback_score,clicked,selected,features,tags
sample_user_1,2024-03-20T10:00:00,view,Basic Savings Account,0.8,True,False,"FDIC insured,Online banking,Mobile app,No minimum balance","savings,basic,everyday banking,digital"
sample_user_1,2024-03-20T10:01:00,view,Premium Checking Account,0.7,True,False,"FDIC insured,Free checks,ATM fee reimbursement,Wire transfers,Priority customer service","premium,checking,everyday banking,digital"
sample_user_1,2024-03-20T10:02:00,view,High-Yield Savings Account,0.0,True,True,"FDIC insured,High interest rate,No monthly fees,Online access,Mobile banking","savings,high-yield,everyday banking,digital"
sample_user_1,2024-03-20T10:03:00,view,Retirement IRA,0.6,True,False,"Tax-deferred growth,Investment options,Professional management,Retirement planning,Portfolio diversification","retirement,investment,long-term,tax-advantaged"
sample_user_1,2024-03-20T10:04:00,view,Investment Portfolio,0.5,True,False,"Professional management,Diversified holdings,Regular rebalancing,Performance tracking,Investment advice","investment,wealth management,long-term,premium"
sample_user_1,2024-03-20T10:05:00,view,Premium Credit Card,0.4,True,False,"Travel rewards,Cash back,Concierge service,Airport lounge access,Extended warranty","credit,rewards,travel,premium"
sample_user_1,2024-03-20T10:06:00,view,Premium Business Loan,0.3,True,False,"Flexible terms,Competitive rates,Quick approval,No prepayment penalty,Business support","business,loans,commercial,financing"
sample_user_1,2024-03-20T10:07:00,view,Student Loan Refinancing,0.2,True,False,"Competitive rates,Flexible terms,No prepayment penalty,Cosigner release option,Rate reduction for autopay","student,loans,refinancing,education"
sample_user_1,2024-03-20T10:08:00,view,Premium Trust Services,0.1,True,False,"Asset management,Beneficiary services,Trust administration,Reporting services,Legal compliance","trust,management,premium,legal"
sample_user_2,2024-03-20T11:00:00,view,Basic Savings Account,0.6,True,False,"FDIC insured,Online banking,Mobile app,No minimum balance","savings,basic,everyday banking,digital"
sample_user_2,2024-03-20T11:01:00,view,Premium Checking Account,0.8,True,True,"FDIC insured,Free checks,ATM fee reimbursement,Wire transfers,Priority customer service","premium,checking,everyday banking,digital"
sample_user_2,2024-03-20T11:02:00,view,High-Yield Savings Account,0.0,True,False,"FDIC insured,High interest rate,No monthly fees,Online access,Mobile banking","savings,high-yield,everyday banking,digital"
